order px wavelength class PCC r_m r_c med_intensity
12 2507 5028.45 w -0.028 -0.00212 -0.00587 -0.0052
12 2508 5028.47 w 0.487 0.03899 0.00515 -0.0065
12 2509 5028.49 w 0.379 0.02389 0.00042 -0.0067
12 2510 5028.50 w 0.425 0.03165 0.00196 -0.0075
12 2511 5028.52 w 0.267 0.01929 -0.00568 -0.0115
12 2512 5028.54 w 0.577 0.04251 -0.00191 -0.0146
12 2513 5028.56 w 0.566 0.05134 -0.00258 -0.0179
12 2514 5028.57 w 0.422 0.03533 -0.00246 -0.0130
12 2515 5028.59 w -0.044 -0.00298 -0.01012 -0.0092
12 2564 5029.45 w 0.006 0.00033 -0.01328 -0.0134
12 2565 5029.46 w 0.351 0.02719 -0.01228 -0.0204
12 2566 5029.48 w 0.452 0.03687 -0.01044 -0.0215
12 2567 5029.50 w 0.309 0.02413 -0.00844 -0.0157
12 2568 5029.52 w 0.106 0.00800 -0.00854 -0.0109
12 2854 5034.46 w 0.041 0.00307 -0.00815 -0.0091
12 2855 5034.48 w 0.593 0.04243 0.00018 -0.0125
12 2856 5034.50 w 0.409 0.03821 -0.00559 -0.0170
12 2857 5034.52 w 0.591 0.06002 -0.00253 -0.0205
12 2858 5034.53 w 0.634 0.07685 -0.00132 -0.0243
12 2859 5034.55 w 0.376 0.03669 -0.00984 -0.0208
12 2860 5034.57 w 0.271 0.02099 -0.00610 -0.0124
12 2861 5034.59 w 0.260 0.02076 -0.00489 -0.0111
12 2862 5034.60 w 0.313 0.02705 -0.00239 -0.0105
12 2863 5034.62 w 0.192 0.01996 -0.00669 -0.0127
12 2864 5034.64 w 0.398 0.03370 -0.00290 -0.0130
12 2865 5034.65 w 0.619 0.05641 -0.00281 -0.0197
12 2866 5034.67 w 0.453 0.04349 -0.00851 -0.0215
12 2867 5034.69 w 0.505 0.05022 -0.00259 -0.0176
12 2868 5034.71 w 0.183 0.01699 -0.00382 -0.0089
12 2906 5035.36 w 0.112 0.00967 -0.00460 -0.0075
12 2907 5035.38 w 0.601 0.06441 0.00825 -0.0110
12 2908 5035.39 w 0.617 0.05463 -0.00149 -0.0178
12 2909 5035.41 w 0.380 0.04386 -0.00788 -0.0210
12 2910 5035.43 w 0.335 0.02871 -0.00518 -0.0138
12 2911 5035.44 w 0.267 0.02004 -0.00156 -0.0076
12 2912 5035.46 w -0.033 -0.00293 -0.00748 -0.0066
12 2958 5036.25 w 0.115 0.00991 -0.00458 -0.0075
12 2959 5036.27 w 0.309 0.03026 -0.00053 -0.0096
12 2960 5036.28 w 0.612 0.05128 0.00118 -0.0142
12 2961 5036.30 w 0.508 0.05673 0.00098 -0.0160
12 2962 5036.32 w 0.395 0.03712 -0.00029 -0.0114
12 2963 5036.34 w 0.050 0.00426 -0.00643 -0.0077
12 3017 5037.26 w 0.054 0.00554 -0.00676 -0.0084
12 3018 5037.28 w 0.414 0.04459 -0.00721 -0.0205
12 3019 5037.29 w 0.590 0.07075 -0.01203 -0.0332
12 3020 5037.31 w 0.755 0.10852 -0.01134 -0.0438
12 3021 5037.33 w 0.653 0.09800 -0.01093 -0.0402
12 3022 5037.35 w 0.540 0.06015 -0.00628 -0.0243
12 3023 5037.36 w 0.251 0.02421 -0.00578 -0.0130
12 3024 5037.38 w 0.042 0.00415 -0.00756 -0.0088
12 3040 5037.65 w 0.147 0.01158 -0.00372 -0.0072
12 3041 5037.67 w 0.339 0.03251 0.00064 -0.0091
12 3042 5037.69 w 0.637 0.06836 0.00363 -0.0168
12 3043 5037.70 w 0.630 0.09696 -0.00144 -0.0304
12 3044 5037.72 w 0.862 0.15198 -0.00133 -0.0468
12 3045 5037.74 w 0.843 0.16717 -0.00038 -0.0504
12 3046 5037.76 w 0.767 0.09990 -0.00273 -0.0326
12 3047 5037.77 w 0.581 0.06800 0.00316 -0.0172
12 3048 5037.79 w 0.362 0.03753 0.00118 -0.0100
12 3049 5037.81 w -0.012 -0.00111 -0.00807 -0.0077
12 3074 5038.23 w -0.022 -0.00219 -0.00704 -0.0064
12 3075 5038.25 w 0.248 0.02248 -0.00459 -0.0113
12 3076 5038.27 w 0.461 0.05791 -0.00070 -0.0180
12 3077 5038.28 w 0.477 0.04934 -0.00430 -0.0190
12 3078 5038.30 w 0.728 0.07585 0.00352 -0.0192
12 3079 5038.32 w 0.432 0.04325 -0.00120 -0.0141
12 3080 5038.34 w -0.004 -0.00050 -0.00985 -0.0097
12 3109 5038.83 w 0.187 0.01925 -0.01083 -0.0166
12 3110 5038.85 w 0.541 0.05642 -0.00267 -0.0195
12 3111 5038.86 w 0.402 0.05439 -0.00622 -0.0225
12 3112 5038.88 w 0.378 0.03744 -0.00265 -0.0138
12 3113 5038.90 w 0.424 0.05288 0.00688 -0.0089
12 3114 5038.91 w 0.108 0.01056 -0.00127 -0.0044
12 3158 5039.66 w -0.119 -0.01003 -0.01083 -0.0078
12 3159 5039.68 w 0.261 0.02685 -0.00304 -0.0111
12 3160 5039.70 w 0.297 0.02589 -0.00488 -0.0126
12 3161 5039.71 w 0.468 0.06649 -0.00015 -0.0200
12 3162 5039.73 w 0.534 0.05709 -0.00733 -0.0244
12 3163 5039.75 w 0.567 0.05987 -0.00007 -0.0180
12 3164 5039.76 w 0.424 0.03633 -0.00137 -0.0122
12 3165 5039.78 w 0.307 0.03443 0.00216 -0.0081
12 3166 5039.80 w 0.254 0.02481 -0.00074 -0.0082
12 3167 5039.82 w 0.145 0.01574 -0.00055 -0.0053
13 0108 5029.43 w -0.207 -0.01602 -0.01408 -0.0093
13 0109 5029.45 w 0.346 0.03453 -0.00711 -0.0174
13 0110 5029.47 w 0.451 0.04416 -0.00935 -0.0226
13 0111 5029.49 w 0.467 0.03809 -0.01139 -0.0228
